date,value
2006-12-31,9869.9485
2007-01-31,9801.005000000001
2007-02-28,9922.0196
2007-03-31,9879.2789
2007-04-30,9854.0999
2007-05-31,9714.219799999999
2007-06-30,9638.7989
2007-07-31,9814.0006
2007-08-31,9937.335799999999
2007-09-30,9919.6307
2007-10-31,10009.9583
2007-11-30,10128.3588
2007-12-31,10028.796400000001
2008-01-31,10373.5278
2008-02-29,10451.5969
2008-03-31,10406.665200000001
2008-04-30,10296.584799999999
2008-05-31,10132.542800000001
2008-06-30,9993.079
2008-07-31,10210.782500000001
2008-08-31,10382.8922
2008-09-30,10487.512200000001
2008-10-31,10558.7764
2008-11-30,11105.423999999999
2008-12-31,11342.0476
2009-01-31,11151.8778
2009-02-28,11331.5023
2009-03-31,11469.1573
2009-04-30,11426.0138
2009-05-31,11197.3624
2009-06-30,11399.9612
2009-07-31,11566.2693
2009-08-31,11631.6364
2009-09-30,11696.5119
2009-10-31,11733.2395
2009-11-30,11866.6423
2009-12-31,11728.5846
2010-01-31,11888.3539
2010-02-28,12016.2486
2010-03-31,12062.5454
2010-04-30,12186.7475
2010-05-31,12505.6173
2010-06-30,12542.262999999999
2010-07-31,12554.931
2010-08-31,13035.0581
2010-09-30,12899.5735
2010-10-31,12731.838899999999
2010-11-30,12584.5123
2010-12-31,12404.833200000001
2011-01-31,12268.154199999999
2011-02-28,12298.807200000001
2011-03-31,12185.3483
2011-04-30,12336.4698
2011-05-31,12543.983
2011-06-30,12582.601200000001
2011-07-31,12905.068
2011-08-31,13273.428899999999
2011-09-30,13591.664
2011-10-31,13372.957199999999
2011-11-30,13194.649999999998
2011-12-31,13615.3004
2012-01-31,13741.4682
2012-02-29,13807.4018
2012-03-31,13846.054100000001
2012-04-30,13985.565600000002
2012-05-31,14463.9591
2012-06-30,14131.772900000002
2012-07-31,14555.9316
2012-08-31,14507.662199999999
2012-09-30,14528.4524
2012-10-31,14568.1422
2012-11-30,14754.7082
2012-12-31,14862.1266
2013-01-31,14606.7741
2013-02-28,14799.715
2013-03-31,14987.843899999998
2013-04-30,15328.9783
2013-05-31,15064.479700000002
2013-06-30,14789.1356
2013-07-31,14913.979299999999
2013-08-31,14796.9234
2013-09-30,14973.326299999999
2013-10-31,15216.6865
2013-11-30,15233.497499999998
2013-12-31,15048.9792
2014-01-31,15501.272299999999
2014-02-28,15616.191799999999
2014-03-31,15769.9002
2014-04-30,15947.320099999999
2014-05-31,16168.5523
2014-06-30,16366.4757
2014-07-31,16509.297599999998
2014-08-31,16864.9632
2014-09-30,16903.5473
2014-10-31,16977.2345
2014-11-30,17255.691
2014-12-31,17480.295000000002
2015-01-31,17766.566700000003
2015-02-28,17907.798199999997
2015-03-31,18032.1777
2015-04-30,17806.024400000002
2015-05-31,17535.4444
2015-06-30,17109.6066
2015-07-31,17541.1777
2015-08-31,17348.23
2015-09-30,17643.7842
2015-10-31,17862.7026
2015-11-30,18029.4408
2015-12-31,17804.202
2016-01-31,18209.8979
2016-02-29,18380.3491
2016-03-31,18475.6319
2016-04-30,18269.4156
2016-05-31,18472.97
2016-06-30,18819.864999999998
2016-07-31,18986.214
2016-08-31,18968.7068
2016-09-30,19049.7723
2016-10-31,18640.9094
2016-11-30,18315.6714
2016-12-31,18497.1115
2017-01-31,18101.4557
2017-02-28,18331.52
2017-03-31,18242.7896
2017-04-30,18364.8213
2017-05-31,18520.4203
2017-06-30,18412.3739
2017-07-31,18466.021699999998
2017-08-31,18648.499200000002
2017-09-30,18560.3694
2017-10-31,18818.2405
2017-11-30,18874.249900000003
2017-12-31,18714.8696
2018-01-31,18554.417699999998
2018-02-28,18596.7421
2018-03-31,18971.3756
2018-04-30,18890.330599999998
2018-05-31,18664.0202
2018-06-30,18834.9696
2018-07-31,18761.5691
2018-08-31,18686.6943
2018-09-30,18623.0199
2018-10-31,18633.572
2018-11-30,18794.2082
2018-12-31,18963.4376
2019-01-31,19222.9127
2019-02-28,19176.643200000002
2019-03-31,19560.5728
2019-04-30,19560.381699999998
2019-05-31,19797.8175
2019-06-30,20193.3436
2019-07-31,20529.4476
2019-08-31,20944.2691
2019-09-30,20860.2209
2019-10-31,20638.2379
2019-11-30,20429.6941
2019-12-31,20246.0563
2020-01-31,20741.6293
2020-02-29,20798.4714
2020-03-31,20327.1422
2020-04-30,20346.5878
2020-05-31,20419.0465
2020-06-30,20630.108799999998
2020-07-31,20815.0298
2020-08-31,20654.1479
2020-09-30,20910.7154
2020-10-31,21103.547
2020-11-30,21118.5834
2020-12-31,21157.5839
2021-01-31,21057.147800000002
2021-02-28,20689.3057
2021-03-31,20800.3688
2021-04-30,20589.17
2021-05-31,20585.3136
2021-06-30,20687.2853
2021-07-31,21064.055200000003
2021-08-31,20939.4572
2021-09-30,20668.8226
2021-10-31,20362.8733
2021-11-30,20798.799
2021-12-31,20494.6789
2022-01-31,20231.5454
2022-02-28,19813.3726
2022-03-31,19259.831299999998
2022-04-30,18517.7447
2022-05-31,18215.7542
2022-06-30,17881.322399999997
2022-07-31,18713.7707
2022-08-31,17616.6122
2022-09-30,16814.229900000002
2022-10-31,16922.1124
2022-11-30,17286.071
2022-12-31,16407.9401
2023-01-31,16922.9929
2023-02-28,16511.2565
2023-03-31,16996.5709
2023-04-30,16988.3053
2023-05-31,17105.7912
2023-06-30,17008.6997
2023-07-31,17001.826500000003
2023-08-31,17073.1453
2023-09-30,16551.0623
2023-10-31,16658.562599999997
2023-11-30,17206.8552
2023-12-31,17891.963200000002
2024-01-31,17814.788200000003
2024-02-29,17546.2285
2024-03-31,17756.6698
2024-04-30,17454.57
2024-05-31,17441.554
2024-06-30,17484.3561
2024-07-31,17926.397399999998
2024-08-31,18003.6748
2024-09-30,18278.8756
2024-10-31,18011.1623
2024-11-30,18444.2896
2024-12-31,18144.1351
2025-01-31,18136.715799999998
2025-02-28,18284.8956
2025-03-31,17940.4578
2025-04-30,18364.6097
2025-05-31,18410.1488
