date,value
2008-08-31,9774.4237
2008-09-30,9282.8322
2008-10-31,8193.1006
2008-11-30,8128.197900000001
2008-12-31,8730.2925
2009-01-31,8532.719299999999
2009-02-28,8225.117
2009-03-31,8709.5166
2009-04-30,8753.0242
2009-05-31,9241.4567
2009-06-30,9323.6904
2009-07-31,9481.3305
2009-08-31,9629.3135
2009-09-30,9794.9174
2009-10-31,9960.5841
2009-11-30,10228.0258
2009-12-31,9883.535600000001
2010-01-31,9843.0145
2010-02-28,9640.024800000001
2010-03-31,9726.4442
2010-04-30,9813.137999999999
2010-05-31,9486.547
2010-06-30,9618.3944
2010-07-31,9920.9723
2010-08-31,10079.905700000001
2010-09-30,10378.8033
2010-10-31,10565.884699999999
2010-11-30,10122.3276
2010-12-31,10273.7635
2011-01-31,10335.5034
2011-02-28,10523.5451
2011-03-31,10636.729099999999
2011-04-30,11106.4511
2011-05-31,11060.8115
2011-06-30,11063.9743
2011-07-31,11376.4952
2011-08-31,11347.5242
2011-09-30,11078.6519
2011-10-31,11358.3805
2011-11-30,11255.5315
2011-12-31,11367.982600000001
2012-01-31,11654.9148
2012-02-29,11756.5135
2012-03-31,11655.295
2012-04-30,11770.712899999999
2012-05-31,11643.2237
2012-06-30,11654.8482
2012-07-31,11797.3286
2012-08-31,11889.3996
2012-09-30,11913.518600000001
2012-10-31,11954.858900000001
2012-11-30,12097.253
2012-12-31,12157.8172
2013-01-31,12169.1203
2013-02-28,11931.1082
2013-03-31,12070.704000000002
2013-04-30,12332.2512
2013-05-31,11735.5965
2013-06-30,11268.9275
2013-07-31,11403.4362
2013-08-31,11315.1041
2013-09-30,11649.467
2013-10-31,11742.9921
2013-11-30,11684.548200000001
2013-12-31,11569.1263
2014-01-31,11697.4112
2014-02-28,11854.706400000001
2014-03-31,11878.5589
2014-04-30,12075.1171
2014-05-31,12221.8891
2014-06-30,12313.9679
2014-07-31,12262.798200000001
2014-08-31,12428.849
2014-09-30,12004.355099999999
2014-10-31,12045.9501
2014-11-30,12153.5883
2014-12-31,12041.070600000001
2015-01-31,12157.8799
2015-02-28,12012.2406
2015-03-31,11904.7669
2015-04-30,12151.7737
2015-05-31,11944.1162
2015-06-30,11901.3141
2015-07-31,11990.8885
2015-08-31,11832.2765
2015-09-30,11746.8447
2015-10-31,11831.0537
2015-11-30,11680.9112
2015-12-31,11475.056499999999
2016-01-31,11581.8796
2016-02-29,11603.874399999999
2016-03-31,12024.4804
2016-04-30,12061.1058
2016-05-31,11990.1635
2016-06-30,12229.2377
2016-07-31,12360.4502
2016-08-31,12596.2244
2016-09-30,12605.9207
2016-10-31,12204.9305
2016-11-30,11839.339
2016-12-31,11936.8695
2017-01-31,12086.2321
2017-02-28,12085.1386
2017-03-31,12099.7692
2017-04-30,12411.2594
2017-05-31,12437.4086
2017-06-30,12328.2849
2017-07-31,12475.9192
2017-08-31,12677.8546
2017-09-30,12595.679699999999
2017-10-31,12595.2642
2017-11-30,12797.0624
2017-12-31,12953.127
2018-01-31,13091.6215
2018-02-28,12858.324200000001
2018-03-31,13141.5605
2018-04-30,12900.405200000001
2018-05-31,12745.884900000001
2018-06-30,12737.388
2018-07-31,12693.6805
2018-08-31,12633.5082
2018-09-30,12527.5317
2018-10-31,12380.0622
2018-11-30,12280.4583
2018-12-31,12425.7528
2019-01-31,12692.2421
2019-02-28,12645.6697
2019-03-31,12914.114699999998
2019-04-30,12879.253
2019-05-31,13019.0566
2019-06-30,13209.0226
2019-07-31,13231.546499999999
2019-08-31,13549.5897
2019-09-30,13442.939100000001
2019-10-31,13474.8457
2019-11-30,13358.757499999998
2019-12-31,13445.3024
2020-01-31,13752.1482
2020-02-29,13736.1773
2020-03-31,13122.340500000002
2020-04-30,13605.6193
2020-05-31,13790.1493
2020-06-30,13975.2711
2020-07-31,14648.696100000001
2020-08-31,14642.507599999999
2020-09-30,14475.5515
2020-10-31,14465.796499999999
2020-11-30,14827.3551
2020-12-31,15131.042099999999
2021-01-31,15010.2665
2021-02-28,14672.3684
2021-03-31,14624.6006
2021-04-30,14842.934099999999
2021-05-31,15256.634399999999
2021-06-30,15066.9114
2021-07-31,15661.7633
2021-08-31,15589.9352
2021-09-30,15183.7952
2021-10-31,15544.566
2021-11-30,15686.654400000001
2021-12-31,15603.4684
2022-01-31,15187.3029
2022-02-28,15242.595700000002
2022-03-31,14919.535899999999
2022-04-30,14084.500600000001
2022-05-31,13649.0249
2022-06-30,12954.165599999998
2022-07-31,13542.2489
2022-08-31,12777.525
2022-09-30,11743.2076
2022-10-31,11866.3622
2022-11-30,12395.335500000001
2022-12-31,12193.1061
2023-01-31,12572.85
2023-02-28,12202.143900000001
2023-03-31,12729.2438
2023-04-30,12698.411
2023-05-31,12332.2512
2023-06-30,12508.829099999999
2023-07-31,12581.2725
2023-08-31,12369.684
2023-09-30,11902.0431
2023-10-31,11780.507099999999
2023-11-30,12338.886499999999
2023-12-31,12860.664
2024-01-31,12640.3513
2024-02-29,12520.4693
2024-03-31,12660.4923
2024-04-30,12345.682499999999
2024-05-31,12596.091199999999
2024-06-30,12575.5426
2024-07-31,12889.2432
2024-08-31,13080.7103
2024-09-30,13302.030300000002
2024-10-31,12856.2039
2024-11-30,12846.0805
2024-12-31,12461.6139
2025-01-31,12588.0058
2025-02-28,12780.1313
2025-03-31,12896.4233
2025-04-30,13194.321500000002
2025-05-31,13132.510999999999
