date,value
2005-12-31,100
2006-01-31,100.1945
2006-02-28,100.3773
2006-03-31,100.6093
2006-04-30,100.8222
2006-05-31,101.0395
2006-06-30,101.2801
2006-07-31,101.5104
2006-08-31,101.787
2006-09-30,102.0366
2006-10-31,102.3152
2006-11-30,102.6183
2006-12-31,102.9195
2007-01-31,103.2259
2007-02-28,103.5128
2007-03-31,103.8529
2007-04-30,104.1844
2007-05-31,104.5365
2007-06-30,104.8697
2007-07-31,105.2253
2007-08-31,105.6157
2007-09-30,105.9533
2007-10-31,106.3141
2007-11-30,106.6959
2007-12-31,107.0429
2008-01-31,107.4247
2008-02-29,107.774
2008-03-31,108.1291
2008-04-30,108.5262
2008-05-31,108.8782
2008-06-30,109.2296
2008-07-31,109.6504
2008-08-31,110.0308
2008-09-30,110.4251
2008-10-31,110.8166
2008-11-30,111.0894
2008-12-31,111.3473
2009-01-31,111.5116
2009-02-28,111.6203
2009-03-31,111.7167
2009-04-30,111.8077
2009-05-31,111.8754
2009-06-30,111.9469
2009-07-31,111.9836
2009-08-31,112.0149
2009-09-30,112.0477
2009-10-31,112.0848
2009-11-30,112.1169
2009-12-31,112.1541
2010-01-31,112.1838
2010-02-28,112.2131
2010-03-31,112.2503
2010-04-30,112.281
2010-05-31,112.3118
2010-06-30,112.3435
2010-07-31,112.392
2010-08-31,112.4319
2010-09-30,112.4746
2010-10-31,112.539
2010-11-30,112.5964
2010-12-31,112.6474
2011-01-31,112.7044
2011-02-28,112.771
2011-03-31,112.8385
2011-04-30,112.9273
2011-05-31,113.0276
2011-06-30,113.1359
2011-07-31,113.2316
2011-08-31,113.3201
2011-09-30,113.4189
2011-10-31,113.5084
2011-11-30,113.5833
2011-12-31,113.6472
2012-01-31,113.6841
2012-02-29,113.7175
2012-03-31,113.7536
2012-04-30,113.7864
2012-05-31,113.8206
2012-06-30,113.8507
2012-07-31,113.8688
2012-08-31,113.8802
2012-09-30,113.889
2012-10-31,113.898
2012-11-30,113.9059
2012-12-31,113.9124
2013-01-31,113.9194
2013-02-28,113.9254
2013-03-31,113.9316
2013-04-30,113.9392
2013-05-31,113.9472
2013-06-30,113.9544
2013-07-31,113.9637
2013-08-31,113.9726
2013-09-30,113.9796
2013-10-31,113.989
2013-11-30,113.9981
2013-12-31,114.0133
2014-01-31,114.0331
2014-02-28,114.047
2014-03-31,114.0627
2014-04-30,114.0906
2014-05-31,114.113
2014-06-30,114.12
2014-07-31,114.1248
2014-08-31,114.1266
2014-09-30,114.1268
2014-10-31,114.1266
2014-11-30,114.1254
2014-12-31,114.1217
2015-01-31,114.1163
2015-02-28,114.113
2015-03-31,114.1081
2015-04-30,114.1021
2015-05-31,114.0928
2015-06-30,114.0815
2015-07-31,114.0692
2015-08-31,114.0581
2015-09-30,114.0453
2015-10-31,114.0314
2015-11-30,114.0191
2015-12-31,113.9967
2016-01-31,113.9757
2016-02-29,113.9536
2016-03-31,113.923
2016-04-30,113.8921
2016-05-31,113.86
2016-06-30,113.8261
2016-07-31,113.7961
2016-08-31,113.763
2016-09-30,113.7283
2016-10-31,113.6965
2016-11-30,113.6635
2016-12-31,113.628
2017-01-31,113.5948
2017-02-28,113.5637
2017-03-31,113.5269
2017-04-30,113.4942
2017-05-31,113.4602
2017-06-30,113.4241
2017-07-31,113.3912
2017-08-31,113.3542
2017-09-30,113.3215
2017-10-31,113.2876
2017-11-30,113.2522
2017-12-31,113.22
2018-01-31,113.1858
2018-02-28,113.1537
2018-03-31,113.116
2018-04-30,113.0827
2018-05-31,113.0463
2018-06-30,113.0133
2018-07-31,112.9791
2018-08-31,112.9418
2018-09-30,112.9099
2018-10-31,112.8742
2018-11-30,112.8381
2018-12-31,112.804
2019-01-31,112.7672
2019-02-28,112.735
2019-03-31,112.7015
2019-04-30,112.6659
2019-05-31,112.6292
2019-06-30,112.5973
2019-07-31,112.5617
2019-08-31,112.5255
2019-09-30,112.4891
2019-10-31,112.4413
2019-11-30,112.4006
2019-12-31,112.3522
2020-01-31,112.307
2020-02-29,112.2674
2020-03-31,112.2281
2020-04-30,112.1817
2020-05-31,112.1419
2020-06-30,112.0989
2020-07-31,112.0511
2020-08-31,112.0089
2020-09-30,111.9652
2020-10-31,111.9184
2020-11-30,111.8759
2020-12-31,111.8261
2021-01-31,111.7844
2021-02-28,111.7428
2021-03-31,111.6908
2021-04-30,111.649
2021-05-31,111.6059
2021-06-30,111.5614
2021-07-31,111.5135
2021-08-31,111.4687
2021-09-30,111.4207
2021-10-31,111.3771
2021-11-30,111.3318
2021-12-31,111.2817
2022-01-31,111.2375
2022-02-28,111.1949
2022-03-31,111.1447
2022-04-30,111.1
2022-05-31,111.0537
2022-06-30,111.0048
2022-07-31,110.9665
2022-08-31,110.9665
2022-09-30,111.0079
2022-10-31,111.0742
2022-11-30,111.2073
2022-12-31,111.3713
2023-01-31,111.5559
2023-02-28,111.7593
2023-03-31,112.031
2023-04-30,112.3007
2023-05-31,112.5965
2023-06-30,112.9291
2023-07-31,113.2467
2023-08-31,113.6338
2023-09-30,113.9851
2023-10-31,114.3643
2023-11-30,114.7702
2023-12-31,115.1521
2024-01-31,115.5354
2024-02-29,115.9332
2024-03-31,116.3194
2024-04-30,116.7071
2024-05-31,117.1218
2024-06-30,117.4717
2024-07-31,117.8514
2024-08-31,118.2446
2024-09-30,118.5923
2024-10-31,118.965
2024-11-30,119.2768
2024-12-31,119.5994
2025-01-31,119.9191
2025-02-28,120.1784
2025-03-31,120.429
2025-04-30,120.6971
2025-05-31,120.9164
