date,value
1999-01-31,0.691
1999-02-28,0.6873
1999-03-31,0.6663
1999-04-30,0.6571
1999-05-31,0.6524
1999-06-30,0.6563
1999-07-31,0.6598
1999-08-31,0.6585
1999-09-30,0.6475
1999-10-31,0.6393
1999-11-30,0.6325
1999-12-31,0.6217
2000-01-31,0.6047
2000-02-29,0.6134
2000-03-31,0.5985
2000-04-30,0.5794
2000-05-31,0.6225
2000-06-30,0.6323
2000-07-31,0.6179
2000-08-31,0.6132
2000-09-30,0.5967
2000-10-31,0.5809
2000-11-30,0.6128
2000-12-31,0.6241
2001-01-31,0.6367
2001-02-28,0.6387
2001-03-31,0.6192
2001-04-30,0.6195
2001-05-31,0.5973
2001-06-30,0.6031
2001-07-31,0.6143
2001-08-31,0.6285
2001-09-30,0.622
2001-10-31,0.6213
2001-11-30,0.6238
2001-12-31,0.6085
2002-01-31,0.6111
2002-02-28,0.61115
2002-03-31,0.613
2002-04-30,0.6188
2002-05-31,0.6405
2002-06-30,0.6498
2002-07-31,0.6261
2002-08-31,0.6352
2002-09-30,0.6295
2002-10-31,0.6326
2002-11-30,0.6395
2002-12-31,0.6505
2003-01-31,0.6557
2003-02-28,0.6842
2003-03-31,0.6896
2003-04-30,0.697
2003-05-31,0.7196
2003-06-30,0.6932
2003-07-31,0.7019
2003-08-31,0.6926
2003-09-30,0.6986
2003-10-31,0.6863
2003-11-30,0.6971
2003-12-31,0.7048
2004-01-31,0.6846
2004-02-29,0.67
2004-03-31,0.6659
2004-04-30,0.6737
2004-05-31,0.66475
2004-06-30,0.67075
2004-07-31,0.66255
2004-08-31,0.6755
2004-09-30,0.6868
2004-10-31,0.69565
2004-11-30,0.6966
2004-12-31,0.70505
2005-01-31,0.6912
2005-02-28,0.68975
2005-03-31,0.6885
2005-04-30,0.6775
2005-05-31,0.6771
2005-06-30,0.6742
2005-07-31,0.6893
2005-08-31,0.6829
2005-09-30,0.68195
2005-10-31,0.67665
2005-11-30,0.68215
2005-12-31,0.6853
2006-01-31,0.6843
2006-02-28,0.6796
2006-03-31,0.6964
2006-04-30,0.6942
2006-05-31,0.6859
2006-06-30,0.6921
2006-07-31,0.6843
2006-08-31,0.6741
2006-09-30,0.6777
2006-10-31,0.6685
2006-11-30,0.67425
2006-12-31,0.6715
2007-01-31,0.66325
2007-02-28,0.67365
2007-03-31,0.6798
2007-04-30,0.6827
2007-05-31,0.68005
2007-06-30,0.674
2007-07-31,0.674
2007-08-31,0.67795
2007-09-30,0.6968
2007-10-31,0.6973
2007-11-30,0.71455
2007-12-31,0.73335
2008-01-31,0.7477
2008-02-29,0.7652
2008-03-31,0.7958
2008-04-30,0.79015
2008-05-31,0.786
2008-06-30,0.79225
2008-07-31,0.78895
2008-08-31,0.805
2008-09-30,0.7903
2008-10-31,0.7869
2008-11-30,0.8299
2008-12-31,0.9525
2009-01-31,0.89785
2009-02-28,0.8931
2009-03-31,0.9308
2009-04-30,0.89335
2009-05-31,0.8729
2009-06-30,0.8521
2009-07-31,0.8556
2009-08-31,0.88135
2009-09-30,0.9093
2009-10-31,0.89375
2009-11-30,0.91155
2009-12-31,0.8881
2010-01-31,0.86655
2010-02-28,0.8927
2010-03-31,0.8898
2010-04-30,0.8703
2010-05-31,0.84863
2010-06-30,0.81745
2010-07-31,0.8349
2010-08-31,0.8248
2010-09-30,0.85995
2010-10-31,0.8686
2010-11-30,0.83765
2010-12-31,0.86075
2011-01-31,0.8609
2011-02-28,0.8528
2011-03-31,0.8837
2011-04-30,0.8917
2011-05-31,0.87205
2011-06-30,0.90255
2011-07-31,0.87485
2011-08-31,0.8856
2011-09-30,0.86665
2011-10-31,0.8731
2011-11-30,0.8558
2011-12-31,0.8353
2012-01-31,0.8351
2012-02-29,0.8439
2012-03-31,0.8339
2012-04-30,0.81295
2012-05-31,0.7999
2012-06-30,0.8068
2012-07-31,0.78395
2012-08-31,0.79525
2012-09-30,0.79805
2012-10-31,0.80645
